('https://image1.ljcdn.com/440100-inspection/d69973c2-6a7e-47f9-9a0b-a5ddab1a5473.jpg.296x216.jpg', '中海金沙馨园 精装三房 交通便利', '中海金沙馨园二期  | 3室2厅 | 99平米 | 北 | 其他 | 有电梯', '高楼层(共18层)2008年建塔楼  -  金沙洲', '325万', '单价32829元/平米')
('https://image1.ljcdn.com/440100-inspection/1a398dc2-1ed0-443c-a8b3-0904f5d89607.jpg.296x216.jpg', '松柏新村 交通方便 户型方正', '松柏新村七巷  | 3室2厅 | 85.86平米 | 北 | 其他', '中楼层(共10层)塔楼  -  广园路', '240万', '单价27953元/平米')
('https://image1.ljcdn.com/440100-inspection/49b4b9d3-381b-43c8-875b-296de9d1201a.jpg.296x216.jpg', '富力半岛花园 4房2厅 530万元', '富力半岛花园  | 4室2厅 | 167.75平米 | 东 | 简装 | 有电梯', '低楼层(共27层)2002年建塔楼  -  罗冲围', '530万', '单价31595元/平米')
('https://image1.ljcdn.com/440100-inspection/ed020129-3e6c-4ef8-9072-54603e75fb1c.jpg.296x216.jpg', '白云明珠广场 电梯大三房 两梯六户 一手业主 过五年', '机场路华明街白云明珠广场  | 3室2厅 | 123.46平米 | 东 | 其他 | 有电梯', '中楼层(共14层)1996年建塔楼  -  机场路', '380万', '单价30780元/平米')
('https://image1.ljcdn.com/440100-inspection/ffb18b0a-cd33-415a-94b5-4b86d2241c63.jpg.296x216.jpg', '阳光家园 实用小三房 安静望小区', '阳光家园  | 3室2厅 | 81平米 | 西北 | 其他 | 有电梯', '中楼层(共9层)2002年建塔楼  -  沙太南', '280万', '单价34568元/平米')
('https://image1.ljcdn.com/440100-inspection/8398f639-4d1f-42b8-8590-09b5d4a7d9a4.jpg.296x216.jpg', '恒骏花园香柏广场 4室2厅 950万', '恒骏花园香柏广场  | 4室2厅 | 160.12平米 | 东南 | 其他 | 有电梯', '低楼层(共30层)2010年建塔楼  -  同和', '950万', '单价59331元/平米')
('https://image1.ljcdn.com/440100-inspection/9078c692-2774-4f38-9b54-70741a66f7d3.jpg.296x216.jpg', '远景路 地段好 电梯2房 住家装修', '银苑大厦  | 2室2厅 | 87平米 | 南 | 简装 | 有电梯', '中楼层(共13层)1998年建塔楼  -  机场路', '240万', '单价27587元/平米')
('https://image1.ljcdn.com/440100-inspection/3941821b-b7a3-4b1c-8c67-8a4d33efe7a6.jpg.296x216.jpg', '金碧雅苑 中高层三房', '金碧雅苑  | 3室2厅 | 83.84平米 | 西 | 精装 | 有电梯', '中楼层(共17层)2005年建塔楼  -  白云大道北', '350万', '单价41747元/平米')
('https://image1.ljcdn.com/440100-inspection/389989dd-ee18-4621-8cc2-441b22402b5a.jpg.296x216.jpg', '黄沙岗实用三房 采光好', '黄石西路黄沙岗大街  | 3室2厅 | 87平米 | 西 | 简装 | 无电梯', '中楼层(共9层)塔楼  -  黄石路', '225万', '单价25863元/平米')
('https://image1.ljcdn.com/440100-inspection/e2d85d91-da71-408b-a0e6-439491865cd5.jpg.296x216.jpg', '富力桃园 望江实用三房 通风采光好', '富力桃园  | 3室2厅 | 111平米 | 东北 | 其他 | 有电梯', '低楼层(共30层)2004年建塔楼  -  罗冲围', '370万', '单价33334元/平米')
('https://image1.ljcdn.com/440100-inspection/95c5e5bd-174b-407a-b2d9-759f70e6145e.jpg.296x216.jpg', '黄石西路 实用大两房', '黄石西路黄沙岗大街  | 2室1厅 | 79.42平米 | 东北 | 其他 | 无电梯', '中楼层(共9层)塔楼  -  黄石路', '195万', '单价24554元/平米')
('https://image1.ljcdn.com/440100-inspection/adaea255-7c1c-4cc5-946b-18cb261308f8.jpg.296x216.jpg', '金碧雅苑 实用两房', '金碧雅苑  | 2室1厅 | 71.53平米 | 北 | 其他 | 有电梯', '中楼层(共18层)2005年建塔楼  -  白云大道北', '273万', '单价38166元/平米')
('', '体育花园 电梯两房 白云公园站500米', '体育花园体育九街  | 2室2厅 | 89.82平米 | 北 | 简装 | 有电梯', '低楼层(共8层)2001年建塔楼  -  白云大道南', '720万', '单价80161元/平米')
('', '机场路 百顺台 高层大三房 视野开阔', '百顺台花园  | 3室1厅 | 88平米 | 东 | 简装 | 有电梯', '高楼层(共15层)1999年建塔楼  -  新市', '352万', '单价40000元/平米')
('https://image1.ljcdn.com/440100-inspection/5a97135f-fa13-4c6f-be6c-11f5b4ea4b77.jpg.296x216.jpg', '江岸花园 南向两房 新居未住', '保利西海岸英伦堡花园  | 2室2厅 | 80.83平米 | 南 | 其他 | 有电梯', '高楼层(共33层)2013年建塔楼  -  金沙洲', '300万', '单价37115元/平米')
('', '南湖半岛花园 实用方正五房两厅 采光好', '雅居乐南湖半岛花园  | 5室2厅 | 223平米 | 东南 | 简装 | 有电梯', '低楼层(共18层)塔楼  -  南湖', '800万', '单价35875元/平米')
('https://image1.ljcdn.com/440100-inspection/6c645878-3afb-49dd-b55f-6ca749cf40aa.jpg.296x216.jpg', '南北向三房，花园小区，环境好', '南湖半山东苑  | 3室2厅 | 96平米 | 南 | 其他 | 有电梯', '中楼层(共26层)2005年建塔楼  -  南湖', '305万', '单价31771元/平米')
('', '荔苑公寓 普通住宅 方正三房', '荔苑公寓  | 3室2厅 | 106.66平米 | 南 北 | 其他 | 无电梯', '高楼层(共8层)2000年建塔楼  -  南湖', '188万', '单价17627元/平米')
('https://image1.ljcdn.com/440100-inspection/20e88793-65b0-4a9d-8620-ecbffc35eefe.jpg.296x216.jpg', '元邦明月金岸 中层 通风采光好', '明月金岸花园  | 3室1厅 | 112平米 | 北 | 其他 | 有电梯', '高楼层(共15层)2012年建塔楼  -  金沙洲', '360万', '单价32143元/平米')
('', '机场路 花园小区 中层安静两房', '机场路华明街白云明珠广场  | 2室1厅 | 67.38平米 | 东 | 简装 | 有电梯', '中楼层(共14层)1996年建塔楼  -  机场路', '230万', '单价34135元/平米')
('https://image1.ljcdn.com/440100-inspection/87dd22e9-db99-4407-ae7f-a4592cbe033f.jpg.296x216.jpg', '云山诗意 方正两房 温馨实用', '云山诗意  | 2室1厅 | 76.2平米 | 北 | 其他 | 有电梯', '中楼层(共18层)2008年建塔楼  -  白云大道北', '330万', '单价43308元/平米')
('https://image1.ljcdn.com/440100-inspection/01693d37-f343-4043-a55e-5c68aaf96469.jpg.296x216.jpg', '鹤龙路 电梯大两房 方正实用', '鹤龙一路  | 2室1厅 | 80平米 | 东南 | 其他', '中楼层(共13层)塔楼  -  白云大道北', '230万', '单价28750元/平米')
('', '润祥大厦中低层 格局好 光线足', '润祥大厦  | 3室2厅 | 96.8平米 | 东南 | 精装 | 有电梯', '低楼层(共13层)2000年建塔楼  -  同和', '310万', '单价32025元/平米')
('https://image1.ljcdn.com/440100-inspection/a2a637f0-32b8-43aa-b719-ea0e92e24144.jpg.296x216.jpg', '百事佳新村 精致装修 格局方正 实用两房', '百事佳新村A区  | 2室1厅 | 73.13平米 | 北 | 其他 | 无电梯', '高楼层(共7层)2006年建塔楼  -  广园路', '235万', '单价32135元/平米')
('', '雅怡花园 电梯三房 宽敞舒适 产权干净', '雅怡花园  | 3室1厅 | 73.16平米 | 北 | 精装 | 无电梯', '中楼层(共9层)1998年建塔楼  -  同德围', '215万', '单价29388元/平米')
('https://image1.ljcdn.com/440100-inspection/86697f7c-e3ef-478e-b715-722dcf5ea348.jpg.296x216.jpg', '香柏广场 南向两房 安静看花园', '恒骏花园香柏广场  | 2室2厅 | 78平米 | 南 | 其他 | 有电梯', '高楼层(共30层)2010年建塔楼  -  同和', '455万', '单价58334元/平米')
('', '保利白云山庄 复式 装修好', '保利白云山庄康云居  | 5室2厅 | 188平米 | 北 | 精装 | 无电梯', '高楼层(共6层)2001年建塔楼  -  白云山风景区', '760万', '单价40426元/平米')
('https://image1.ljcdn.com/440100-inspection/ef2061e1-1772-4db8-b297-1e486643299c.jpg.296x216.jpg', '香柏广场 电梯中高层 实用三房', '恒骏花园香柏广场  | 3室2厅 | 92.82平米 | 西北 | 其他 | 有电梯', '中楼层(共30层)2010年建塔楼  -  同和', '500万', '单价53868元/平米')
('https://image1.ljcdn.com/440100-inspection/42fe0d18-bcd8-4f66-9df1-3ec3591a4d22.jpg.296x216.jpg', '政通路两房 格局方正，南向单位', '广园中路  | 2室1厅 | 65.84平米 | 南 | 其他 | 无电梯', '高楼层(共9层)暂无数据  -  广园路', '175万', '单价26580元/平米')
('', '万科天河御品 电梯三房 高层 户型方正', '天河御品  | 3室2厅 | 109.98平米 | 南 | 简装 | 有电梯', '高楼层(共25层)2010年建塔楼  -  同和', '520万', '单价47282元/平米')
('https://image1.ljcdn.com/440100-inspection/64c2790c-fedd-45d0-9916-f30b9ceac41a.jpg.296x216.jpg', '汇侨新城 南向', '汇侨新城蓝天丽境  | 2室1厅 | 83平米 | 南 | 简装 | 有电梯', '中楼层(共18层)2000年建塔楼  -  新市', '285万', '单价34338元/平米')
('https://image1.ljcdn.com/440100-inspection/325cc33b-9e5f-4578-a67b-cb24da28ceba.jpg.296x216.jpg', '尚境雅筑 南向两房 楼龄新 小区安静', '尚境雅筑  | 2室1厅 | 71.96平米 | 西南 | 其他 | 有电梯', '中楼层(共10层)2012年建塔楼  -  罗冲围', '248万', '单价34464元/平米')
('https://image1.ljcdn.com/440100-inspection/46d6fe20-b9ab-4873-973d-3c632d37a403.jpg.296x216.jpg', '汇侨新城 东南向两房', '汇侨新城东区  | 2室1厅 | 73.04平米 | 东南 | 其他 | 无电梯', '高楼层(共9层)2000年建塔楼  -  新市', '195万', '单价26698元/平米')
('', '南航新村 电梯物业 户型方正 装修保养好', '南航新村  | 3室2厅 | 103平米 | 南 北 | 其他 | 有电梯', '低楼层(共9层)1997年建塔楼  -  新市', '288万', '单价27962元/平米')
('https://image1.ljcdn.com/440100-inspection/44a04a15-9ec6-4192-82cd-9c021c2674ca.jpg.296x216.jpg', '白云新兴花园中层3房 地铁黄边700米', '新兴白云花园乐居北街  | 3室2厅 | 81.79平米 | 西 | 精装 | 无电梯', '中楼层(共9层)1999年建塔楼  -  白云大道北', '246万', '单价30078元/平米')
('https://image1.ljcdn.com/440100-inspection/806ae5a0-d827-4dee-9532-ee193bc08432.jpg.296x216.jpg', '汇侨新城 小区舒适 电梯户型方正', '汇侨新城南区  | 2室1厅 | 100平米 | 北 | 其他 | 有电梯', '高楼层(共16层)2000年建塔楼  -  新市', '350万', '单价35000元/平米')
('https://image1.ljcdn.com/440100-inspection/a13da259-f166-42d9-9074-0ca264e7e9df.jpg.296x216.jpg', '格局方正 交通方便 采光充足', '兴云路  | 2室2厅 | 73平米 | 南 北 | 简装 | 无电梯', '中楼层(共5层)板楼  -  广园路', '219万', '单价30000元/平米')
('https://image1.ljcdn.com/440100-inspection/3279a237-1d73-41d1-8426-b0c746b3bc1b.jpg.296x216.jpg', '白云祥景花园 高层3房 采光通风佳望花园', '祥景花园雍翠园  | 3室2厅 | 101.96平米 | 北 | 精装 | 有电梯', '高楼层(共15层)2000年建塔楼  -  黄石路', '360万', '单价35308元/平米')
('', '景泰名苑 电梯小区 实用两房', '景泰名苑  | 2室2厅 | 83平米 | 南 | 其他 | 有电梯', '低楼层(共10层)2001年建塔楼  -  广园路', '260万', '单价31326元/平米')
('https://image1.ljcdn.com/440100-inspection/076bbe9c-ea7b-4d92-ae85-38f0e6240b03.jpg.296x216.jpg', '恒骏花园 电梯三房 通风透气采光好', '恒骏花园  | 3室2厅 | 99平米 | 北 | 其他 | 有电梯', '中楼层(共11层)2003年建塔楼  -  同和', '425万', '单价42930元/平米')
('', '富力阳光美居 4房2厅 450万元', '富力阳光美居  | 4室2厅 | 111.7平米 | 南 | 其他 | 有电梯', '高楼层(共15层)2001年建塔楼  -  黄石路', '450万', '单价40287元/平米')
('https://image1.ljcdn.com/440100-inspection/35eb5150-a9e9-4e9e-801b-68108039f091.jpg.296x216.jpg', '恒骏花园 精装三房 采光通风透气', '恒骏花园  | 3室2厅 | 85.5平米 | 南 | 其他 | 有电梯', '中楼层(共9层)2002年建塔楼  -  同和', '410万', '单价47954元/平米')
('https://image1.ljcdn.com/440100-inspection/b5830d3b-f122-4762-8a68-6095b21f6d06.jpg.296x216.jpg', '富力半岛 大户型两房 成熟小区', '富力半岛花园  | 2室2厅 | 79.51平米 | 东北 | 其他 | 有电梯', '中楼层(共33层)2005年建塔楼  -  罗冲围', '292万', '单价36725元/平米')
('https://image1.ljcdn.com/440100-inspection/cba54530-35eb-4b53-b42b-79c0b51027f0.JPG.296x216.jpg', '城西花园 满五年  交通方便 户型三房', '城西花园  | 3室2厅 | 86.9平米 | 西北 | 其他 | 无电梯', '中楼层(共6层)1999年建塔楼  -  金沙洲', '260万', '单价29920元/平米')
('https://image1.ljcdn.com/440100-inspection/d476264f-6fcc-4813-85fb-563eaf545c85.jpg.296x216.jpg', '三元里 正升雅境 楼龄新 采光好 诚售', '正升雅境  | 3室2厅 | 102.84平米 | 南 | 精装 | 有电梯', '低楼层(共17层)2012年建塔楼  -  机场路', '390万', '单价37923元/平米')
('https://image1.ljcdn.com/440100-inspection/95d1925f-5060-448f-ada9-c99e0eeb1310.jpg.296x216.jpg', '保利西子湾 温馨实用两房 交通方便', '保利西子湾  | 2室2厅 | 82平米 | 东南 | 精装 | 有电梯', '低楼层(共11层)2007年建塔楼  -  金沙洲', '299万', '单价36464元/平米')
('https://image1.ljcdn.com/440100-inspection/d6c1c5ce-134a-4a8d-bea0-9d6cc50496f5.jpg.296x216.jpg', '远景路 美景苑 实用电梯两房 楼龄新', '美景苑  | 2室2厅 | 98平米 | 南 | 精装 | 有电梯', '低楼层(共9层)2008年建塔楼  -  机场路', '392万', '单价40000元/平米')
('', '京溪尚苑 方正实用两房 交通便利', '京溪尚苑  | 2室2厅 | 85.35平米 | 东南 | 其他 | 有电梯', '低楼层(共9层)2000年建塔楼  -  同和', '320万', '单价37493元/平米')
('https://image1.ljcdn.com/440100-inspection/b4a42735-f535-4619-9718-67615da3b81a.jpg.296x216.jpg', '中海金沙湾 舒适三房 保养好', '中海金沙湾  | 3室2厅 | 99.54平米 | 南 | 其他 | 有电梯', '低楼层(共33层)2012年建塔楼  -  金沙洲', '300万', '单价30139元/平米')
('https://image1.ljcdn.com/440100-inspection/aadd0cdd-be55-4646-86d8-3f99bd127c2c.jpg.296x216.jpg', '富力半岛花园 2房2厅 300万元', '富力半岛花园  | 2室2厅 | 78.36平米 | 西南 | 其他 | 有电梯', '高楼层(共27层)2002年建塔楼  -  罗冲围', '285万', '单价36371元/平米')
('', '中意花园 电梯三房 生活圈完善', '中意花苑  | 3室1厅 | 84.95平米 | 东北 | 其他 | 有电梯', '中楼层(共15层)1998年建塔楼  -  机场路', '280万', '单价32961元/平米')
('https://image1.ljcdn.com/440100-inspection/dc4c76eb-13b3-4643-8a88-5afa4c281a33.jpg.296x216.jpg', '保利西子湾 温馨三房 地铁沙贝站', '保利西子湾  | 3室2厅 | 96平米 | 东南 | 其他 | 有电梯', '低楼层(共11层)2007年建塔楼  -  金沙洲', '400万', '单价41667元/平米')
('', '中意花园 电梯复式实用3房', '中意花苑  | 4室2厅 | 142.08平米 | 东南 | 其他 | 有电梯', '高楼层(共15层)1998年建塔楼  -  机场路', '380万', '单价26746元/平米')
('', '恒骏花园  实用两房 中楼层', '恒骏花园  | 2室2厅 | 69.49平米 | 南 | 其他 | 有电梯', '高楼层(共9层)2002年建塔楼  -  同和', '320万', '单价46050元/平米')
('https://image1.ljcdn.com/440100-inspection/e6f5e193-4955-4563-a747-8c22a2ba30b7.jpg.296x216.jpg', '怡新花园 大两房 高层采光好', '怡新花园  | 2室1厅 | 88.19平米 | 北 | 其他 | 有电梯', '中楼层(共16层)2007年建塔楼  -  同和', '420万', '单价47625元/平米')
('', '香柏广场 实用一房', '恒骏花园香柏广场  | 1室1厅 | 55.81平米 | 南 | 其他 | 有电梯', '低楼层(共30层)2010年建塔楼  -  同和', '300万', '单价53754元/平米')
('', '东西向 采光好 两房一厅', '润祥大厦  | 2室1厅 | 88平米 | 东 西 | 其他 | 有电梯', '低楼层(共13层)2000年建塔楼  -  同和', '260万', '单价29546元/平米')
('https://image1.ljcdn.com/440100-inspection/21982ff1-1c1d-4939-bc40-1da7709096a9.jpg.296x216.jpg', '怡新花园 花园小区 户型方正 保养新净', '怡新花园  | 2室1厅 | 88平米 | 东 | 精装 | 有电梯', '高楼层(共15层)2007年建塔楼  -  同和', '410万', '单价46591元/平米')
('', '金碧新城 厅出阳台 两房', '金碧新城  | 2室2厅 | 72.13平米 | 东北 | 精装 | 有电梯', '低楼层(共18层)2005年建塔楼  -  石井', '270万', '单价37433元/平米')
('', '云苑新村 两房一厅 格局方正', '同和云苑新村  | 2室2厅 | 72平米 | 南 | 其他 | 无电梯', '低楼层(共9层)2000年建塔楼  -  同和', '160万', '单价22223元/平米')
('https://image1.ljcdn.com/440100-inspection/9d2af48d-f5de-4053-ab17-af78f6de68c3.jpg.296x216.jpg', '富力桃园 d区 温馨舒适 户型方正 望江两房', '富力桃园  | 2室2厅 | 83.46平米 | 东北 | 其他 | 有电梯', '低楼层(共30层)2004年建塔楼  -  罗冲围', '285万', '单价34149元/平米')
('', '机场路 时代花园 复式两房 望白云山', '时代花园  | 2室1厅 | 61.5平米 | 南 | 其他 | 有电梯', '高楼层(共15层)1999年建塔楼  -  机场路', '400万', '单价65041元/平米')
('', '万科金域蓝湾 舒适两房 交通生活便利', '金域蓝湾  | 2室2厅 | 80.56平米 | 西 | 其他 | 有电梯', '低楼层(共25层)2008年建塔楼  -  金沙洲', '315万', '单价39102元/平米')
('', '托斯卡纳 中层四房 安静舒适', '托斯卡纳  | 4室1厅 | 171平米 | 南 | 其他 | 有电梯', '中楼层(共12层)2009年建塔楼  -  南湖', '513万', '单价30000元/平米')
('', '纵横缤城 精致两房 厅出阳台', '纵横缤城  | 2室2厅 | 77.5平米 | 北 | 其他 | 有电梯', '低楼层(共18层)2009年建塔楼  -  新市', '290万', '单价37420元/平米')
('https://image1.ljcdn.com/440100-inspection/8c34480b-4d4e-48f1-aa25-646ad8a3d436.jpg.296x216.jpg', '御金沙 精装三房 户型对流 带花园', '浔峰御金沙园  | 3室2厅 | 103平米 | 南 | 其他 | 有电梯', '低楼层(共25层)2011年建塔楼  -  金沙洲', '480万', '单价46602元/平米')
('', '新市新街 户型方正  大三房 通风采光好', '广花五路新市新街  | 3室2厅 | 94.85平米 | 北 | 简装 | 无电梯', '高楼层(共9层)塔楼  -  新市', '180万', '单价18978元/平米')
('', '产权清晰 采光通风好', '云山熹景  | 5室3厅 | 264.52平米 | 东 | 其他 | 有电梯', '高楼层(共18层)2008年建塔楼  -  同和', '1400万', '单价52927元/平米')
('https://image1.ljcdn.com/440100-inspection/a0b32639-1bc7-4f19-a0b2-19b642721ecd.jpg.296x216.jpg', '紫薇花园 通透三房 交通方便 小区高档', '紫薇花园  | 2室2厅 | 95平米 | 北 | 其他 | 有电梯', '中楼层(共18层)2006年建塔楼  -  新市', '380万', '单价40000元/平米')
('', '时代花生 2+1户型', '时代花生Ⅱ  | 2室1厅 | 85平米 | 南 | 其他', '低楼层(共32层)塔楼  -  同和', '400万', '单价47059元/平米')
('https://image1.ljcdn.com/440100-inspection/b5ad2a33-82ad-43ee-8465-2d75747300e6.jpg.296x216.jpg', '积德花园  全新装修两房 通风采光好', '积德花园  | 2室1厅 | 65.24平米 | 南 | 简装 | 无电梯', '高楼层(共9层)1998年建塔楼  -  同德围', '170万', '单价26058元/平米')
('https://image1.ljcdn.com/440100-inspection/f671f067-953a-4887-820b-7dc66c47d012.jpg.296x216.jpg', '万科云山 实用三房 精装修 通风好', '万科云山花园  | 3室1厅 | 94.96平米 | 西南 西北 | 精装 | 有电梯', '低楼层(共29层)2009年建塔楼  -  白云大道北', '398万', '单价41913元/平米')
('', '广信春兰花园 南向', '广信春兰花园  | 1室1厅 | 50.53平米 | 南 | 其他 | 无电梯', '中楼层(共9层)1995年建塔楼  -  同和', '200万', '单价39581元/平米')
('', '景泰新村 1房1厅 150万元', '景泰新村景泰西七巷  | 1室1厅 | 36平米 | 南 | 其他 | 无电梯', '低楼层(共7层)2008年建塔楼  -  广园路', '150万', '单价41667元/平米')
('https://image1.ljcdn.com/440100-inspection/2aa32e36-5944-4275-a337-ae46abe86e93.jpg.296x216.jpg', '万科金域蓝湾三期 满五年广州一套物业', '金域蓝湾  | 3室2厅 | 98.29平米 | 东南 | 其他 | 有电梯', '低楼层(共34层)2008年建塔楼  -  金沙洲', '410万', '单价41714元/平米')
('https://image1.ljcdn.com/440100-inspection/7e48db4c-a4d5-4135-a6ac-e2f671e0e362.jpg.296x216.jpg', '万科云山 南向 精装三房 实用格局', '万科云山花园  | 3室2厅 | 98平米 | 南 | 其他 | 有电梯', '高楼层(共18层)2008年建塔楼  -  白云大道北', '350万', '单价35715元/平米')
('', '万科蓝山 方正三房 南向望花园 安静', '万科蓝山  | 3室2厅 | 109.64平米 | 东南 | 其他 | 有电梯', '中楼层(共18层)2007年建塔楼  -  南湖', '350万', '单价31923元/平米')
('https://image1.ljcdn.com/440100-inspection/4eb76af7-f7a9-4d74-ad25-69ac589d69bd.jpg.296x216.jpg', '万科金域蓝湾 精装两房 保养', '金域蓝湾  | 2室2厅 | 85.76平米 | 西北 | 其他 | 有电梯', '高楼层(共34层)2008年建塔楼  -  金沙洲', '335万', '单价39063元/平米')
('https://image1.ljcdn.com/440100-inspection/8cab56a0-248a-4415-bacf-2054d9f59215.jpg.296x216.jpg', '荷塘月色 实用两房 采光好', '白云高尔夫花园荷塘月色  | 2室1厅 | 67.94平米 | 北 | 简装 | 有电梯', '中楼层(共11层)2002年建塔楼  -  黄石路', '300万', '单价44157元/平米')
('https://image1.ljcdn.com/440100-inspection/8fdbb8e9-e2dc-4487-a278-6d0cf305837c.jpg.296x216.jpg', '云苑新村 两房一厅 户型实用', '广园云苑新村  | 2室1厅 | 51平米 | 东南 | 其他 | 无电梯', '中楼层(共9层)1999年建塔楼  -  广园路', '175万', '单价34314元/平米')
('', '紫薇花园 2室1厅 382万', '紫薇花园  | 2室1厅 | 87平米 | 北 | 其他 | 有电梯', '高楼层(共18层)2006年建塔楼  -  新市', '382万', '单价43909元/平米')
('', '景泰新村 间隔方正 电梯大两房 南向通风', '景泰新村景泰西一巷  | 2室1厅 | 68平米 | 东南 | 其他 | 有电梯', '低楼层(共12层)2008年建塔楼  -  广园路', '258.4万', '单价38000元/平米')
('https://image1.ljcdn.com/440100-inspection/191e649d-f916-4d35-b224-8446542524c9.jpg.296x216.jpg', '锦云峰 精装两房 装修保养好', '岭南新世界锦云峰  | 2室1厅 | 87平米 | 北 | 其他 | 有电梯', '低楼层(共32层)2013年建塔楼  -  白云大道北', '370万', '单价42529元/平米')
('', '东方明珠花园 5房3厅 1550万元', '东方明珠花园  | 5室3厅 | 332.8平米 | 西北 | 其他 | 有电梯', '高楼层(共10层)1999年建塔楼  -  白云大道南', '1550万', '单价46575元/平米')
('https://image1.ljcdn.com/440100-inspection/46e5de67-3c26-4961-904d-198fddfac823.jpg.296x216.jpg', '香柏广场 东南向电梯两房 实用户型', '恒骏花园香柏广场  | 2室2厅 | 78.8平米 | 西北 | 其他 | 有电梯', '中楼层(共30层)2010年建塔楼  -  同和', '400万', '单价50762元/平米')
('', '富力半岛 中高楼层 直出两房', '富力半岛花园  | 2室1厅 | 78.22平米 | 东 | 其他 | 有电梯', '中楼层(共33层)2005年建塔楼  -  罗冲围', '295万', '单价37715元/平米')
('https://image1.ljcdn.com/440100-inspection/822245f3-0298-4108-8464-697ad5ee7997.jpg.296x216.jpg', '云景花园 两房户型 方正实用', '云景花园云桂苑  | 2室1厅 | 70平米 | 南 | 其他 | 有电梯', '低楼层(共10层)2002年建塔楼  -  同和', '385万', '单价55000元/平米')
('https://image1.ljcdn.com/440100-inspection/e331f31b-0826-403d-abb1-7fd6f94dcb3b.jpg.296x216.jpg', '岭南新世界 映悦园两房 保养好', '岭南新世界映悦园  | 2室2厅 | 82平米 | 东北 | 精装 | 有电梯', '中楼层(共17层)2008年建塔楼  -  白云大道北', '335万', '单价40854元/平米')
('', '岭南花园 大三房 户型方正 采光好', '岭南花园  | 3室1厅 | 100平米 | 南 | 其他 | 无电梯', '高楼层(共6层)2001年建板楼  -  同德围', '360万', '单价36000元/平米')
('', '倚绿山庄柏林半山雅墅 4室2厅 650万', '倚绿山庄柏林半山雅墅  | 4室2厅 | 188.26平米 | 东南 | 其他 | 有电梯', '中楼层(共5层)2000年建塔楼  -  南湖', '650万', '单价34527元/平米')
('https://image1.ljcdn.com/440100-inspection/33b12450-71b9-494b-888d-621b9ee4e657.jpg.296x216.jpg', '银德大厦 三房户型 方正实用', '银德大厦  | 3室2厅 | 124平米 | 东南 | 简装 | 无电梯', '中楼层(共9层)2000年建塔楼  -  同德围', '372万', '单价30000元/平米')
('https://image1.ljcdn.com/440100-inspection/ac276b24-2c45-4366-81bd-b28601032576.jpg.296x216.jpg', '黄石西路 富力阳光美居 精装修电梯中层', '富力阳光美居  | 2室1厅 | 72.17平米 | 北 | 其他 | 有电梯', '中楼层(共16层)2001年建塔楼  -  黄石路', '265万', '单价36719元/平米')
('https://image1.ljcdn.com/440100-inspection/82039d97-c6bc-4ccf-81e1-db0abbf362e5.JPG.296x216.jpg', '机场路华明街白云明珠广场 1室2厅 170万', '机场路华明街白云明珠广场  | 1室2厅 | 49.98平米 | 北 | 其他 | 有电梯', '高楼层(共14层)1996年建塔楼  -  机场路', '170万', '单价34014元/平米')
('', '新市 紫荆花园 电梯高层两房', '紫荆花园  | 2室1厅 | 62.16平米 | 南 北 | 其他 | 有电梯', '高楼层(共11层)2000年建塔楼  -  新市', '225万', '单价36197元/平米')
('', '梅花园 怡新花园 精装三房', '怡新花园  | 3室2厅 | 105平米 | 北 | 精装 | 有电梯', '中楼层(共28层)2007年建塔楼  -  同和', '530万', '单价50477元/平米')
('', '富力桃园D区 中层大2房 采光好', '富力桃园  | 2室2厅 | 83.27平米 | 东北 | 其他 | 有电梯', '高楼层(共30层)2004年建塔楼  -  罗冲围', '316万', '单价37949元/平米')
('', '御金沙 证过两年 温馨三房', '浔峰御金沙园  | 3室2厅 | 103平米 | 南 | 其他 | 有电梯', '高楼层(共25层)2011年建塔楼  -  金沙洲', '412万', '单价40000元/平米')
('', '泽德花园 2室1厅 126万', '泽德花园  | 2室1厅 | 55.75平米 | 南 | 其他 | 无电梯', '高楼层(共9层)1998年建塔楼  -  同德围', '126万', '单价22601元/平米')
('https://image1.ljcdn.com/440100-inspection/4a41961a-fb88-46f7-8f81-496f0bd4a224.jpg.296x216.jpg', '白云区 祥景花园雍翠园 电梯方正两房', '祥景花园雍翠园  | 2室2厅 | 85.64平米 | 东 | 其他 | 有电梯', '中楼层(共15层)2000年建塔楼  -  黄石路', '273万', '单价31878元/平米')
('', '富力桃园E区 中层温馨2房 通风好', '富力桃园  | 2室2厅 | 83.07平米 | 东 | 其他 | 有电梯', '中楼层(共31层)2004年建塔楼  -  罗冲围', '308万', '单价37078元/平米')
('', '恒大御景半岛 高层望江 环境', '恒大御景半岛  | 4室2厅 | 159.04平米 | 东北 | 其他 | 有电梯', '中楼层(共31层)2007年建塔楼  -  金沙洲', '510万', '单价32068元/平米')
('', '保利西海岸英伦堡花园 舒适大两房 环境好', '保利西海岸英伦堡花园  | 2室2厅 | 80平米 | 南 | 其他 | 有电梯', '高楼层(共36层)塔楼  -  金沙洲', '280万', '单价35000元/平米')
('', '南湖半山东苑三房 户型方正', '南湖半山东苑  | 3室2厅 | 115平米 | 西 | 其他 | 有电梯', '高楼层(共28层)2005年建塔楼  -  南湖', '370万', '单价32174元/平米')
