('https://image1.ljcdn.com/440100-inspection/e0df61a8-104b-4ab7-9c42-4a78695b301f.jpg.296x216.jpg', '中层 南向 全线江景 二沙岛园景 小蛮腰夜景', '碧海湾  | 6室2厅 | 370.12平米 | 东南 | 精装 | 有电梯', '中楼层(共28层)2003年建塔楼  -  珠江新城西', '2670万', '单价72139元/平米')
('https://image1.ljcdn.com/440100-inspection/6e316585-8422-4018-95cd-cdfd168acb87.jpg.296x216.jpg', '嘉裕公馆看花园4房 东南朝向，中高层', '嘉裕公馆  | 4室2厅 | 209.29平米 | 东南 | 毛坯 | 有电梯', '高楼层(共33层)2015年建塔楼  -  珠江新城中', '2720.8万', '单价130000元/平米')
('https://image1.ljcdn.com/440100-inspection/53ceb310-ef5e-419b-9309-098af3befbea.jpg.296x216.jpg', '坤隆苑 3室1厅 650万', '坤隆苑  | 3室1厅 | 134.41平米 | 西南 | 其他', '中楼层(共10层)2008年建塔楼  -  粤垦', '650万', '单价48360元/平米')
('https://image1.ljcdn.com/440100-inspection/5b69e17b-ce9d-4f0d-8289-9cbc328b8fb3.jpg.296x216.jpg', '潭村地铁 马赛国际 婚房 两', '马赛国际公寓  | 2室1厅 | 66.71平米 | 西北 | 其他 | 有电梯', '高楼层(共33层)2006年建塔楼  -  珠江新城东', '390万', '单价58462元/平米')
('https://image1.ljcdn.com/440100-inspection/ddef0166-06a3-4c0e-94a7-3f4d78aa3473.jpg.296x216.jpg', '中达广场 精装复式公寓 交通方便', '中达广场  | 1室1厅 | 63.76平米 | 南 | 其他', '高楼层(共25层)塔楼  -  珠江新城中', '460万', '单价72146元/平米')
('https://image1.ljcdn.com/440100-inspection/754bd889-6551-42ec-b90d-1055cbc1463f.jpg.296x216.jpg', '华景新城陶然庭园 2室2厅 405万', '华景新城陶然庭园  | 2室2厅 | 77.63平米 | 西 北 | 精装 | 有电梯', '中楼层(共35层)2007年建塔楼  -  华景新城', '405万', '单价52171元/平米')
('https://image1.ljcdn.com/440100-inspection/bab6f49c-6b2d-4131-ad4f-530f5488d549.jpg.296x216.jpg', '骏景花园 南苑 保养好', '骏景花园  | 3室2厅 | 122平米 | 北 | 简装 | 有电梯', '低楼层(共14层)2003年建塔楼  -  棠下', '550万', '单价45082元/平米')
('https://image1.ljcdn.com/440100-inspection/174da5ae-7458-49ac-ae76-60f3b7afee6f.jpg.296x216.jpg', '保利心语花园 方正四房 安静望花园', '保利心语花园  | 4室2厅 | 138平米 | 西 | 其他 | 有电梯', '中楼层(共32层)2009年建塔楼  -  珠江新城中', '1430万', '单价103624元/平米')
('https://image1.ljcdn.com/440100-inspection/5d0b2609-1518-4505-a3f5-203a1fb698bc.jpg.296x216.jpg', '尚河居 两房两厅 正西朝向 电梯楼', '尚河居  | 2室2厅 | 87.49平米 | 西北 | 精装 | 有电梯', '低楼层(共24层)2005年建塔楼  -  天河南', '540万', '单价61722元/平米')
('https://image1.ljcdn.com/440100-inspection/4b1b67b3-88be-4b3a-882f-0a8a662d5444.jpg.296x216.jpg', '鸿翔大厦大四房，户型方正 厅出阳台西南向', '鸿翔大厦  | 4室2厅 | 151平米 | 西南 | 其他 | 有电梯', '中楼层(共29层)2002年建塔楼  -  天润路', '960万', '单价63577元/平米')
('https://image1.ljcdn.com/440100-inspection/9608efa4-9759-405c-b410-9bf871123d5a.jpg.296x216.jpg', '龙口中路 南北大三房 户型方正 小区安静位置好', '龙口中路  | 3室2厅 | 100平米 | 南 北 | 其他 | 无电梯', '低楼层(共9层)1995年建塔楼  -  龙口东', '630万', '单价63000元/平米')
('https://image1.ljcdn.com/440100-inspection/7ac57609-f8c0-4f8c-8b02-33606436d443.jpg.296x216.jpg', '新世界东逸花园 高层安静  住家装修', '新世界东逸花园  | 3室2厅 | 126.66平米 | 东北 | 其他 | 有电梯', '高楼层(共28层)2003年建塔楼  -  天河公园', '860万', '单价67899元/平米')
('https://image1.ljcdn.com/440100-inspection/ed45f5eb-e246-415f-9e7e-969dd9238e25.jpg.296x216.jpg', '名门大厦 1室1厅 938万', '名门大厦  | 1室1厅 | 156.41平米 | 南 | 其他 | 有电梯', '高楼层(共33层)1997年建塔楼  -  珠江新城西', '938万', '单价59971元/平米')
('https://image1.ljcdn.com/440100-inspection/8628ce0a-983f-4e96-8f2f-bf896bb839ff.jpg.296x216.jpg', '东逸花园 三房单位 装修保养好', '新世界东逸花园  | 3室2厅 | 126.45平米 | 东北 | 其他 | 有电梯', '低楼层(共28层)2003年建塔楼  -  天河公园', '830万', '单价65639元/平米')
('https://image1.ljcdn.com/440100-inspection/0c91879d-29ae-434a-9570-13c18b0a123d.jpg.296x216.jpg', '橡树园 电梯3房 小区环境好', '橡树园  | 3室1厅 | 85.6平米 | 东南 | 其他 | 有电梯', '低楼层(共9层)2006年建塔楼  -  沙太南', '315万', '单价36800元/平米')
('https://image1.ljcdn.com/440100-inspection/2a4bdf4d-3299-4b4a-b653-b7ab9c50fc2d.jpg.296x216.jpg', '骏景花园南苑四房 户型方正 温馨舒适', '骏景花园  | 4室2厅 | 154平米 | 北 | 其他 | 有电梯', '高楼层(共13层)2003年建塔楼  -  棠下', '790万', '单价51299元/平米')
('https://image1.ljcdn.com/440100-inspection/7f68e69a-a81d-4fbd-8fd2-ebde2de5ef4f.jpg.296x216.jpg', '恒业大厦 新楼龄电梯小两房', '恒业大厦  | 2室1厅 | 80.68平米 | 北 | 精装 | 有电梯', '高楼层(共20层)2006年建塔楼  -  员村', '400万', '单价49579元/平米')
('https://image1.ljcdn.com/440100-inspection/e8333014-ec94-4885-81f6-d67c3e901743.jpg.296x216.jpg', '东晖花园 南向四房精装修', '东晖花园  | 4室2厅 | 164.66平米 | 东南 | 精装 | 有电梯', '高楼层(共10层)1999年建塔楼  -  天河公园', '1000万', '单价60732元/平米')
('https://image1.ljcdn.com/440100-inspection/abdeab2c-c53e-4346-85e4-8880febe9c6d.jpg.296x216.jpg', '穗东花园 方正三房 通风采光好', '穗东花园  | 3室2厅 | 68平米 | 东 | 其他 | 无电梯', '低楼层(共9层)1997年建塔楼  -  天河公园', '330万', '单价48530元/平米')
('https://image1.ljcdn.com/440100-inspection/6699aca9-3372-4f46-928b-c6d3ee4dcb1f.jpg.296x216.jpg', '东莞庄路 天一新村 电梯楼复式5房', '天一新村  | 5室2厅 | 222.13平米 | 西北 | 其他 | 有电梯', '高楼层(共10层)2008年建塔楼  -  东莞庄', '1021.8万', '单价46001元/平米')
('https://image1.ljcdn.com/440100-inspection/1137a06b-bbf7-4fb4-b172-522b8bd9beb7.jpg.296x216.jpg', '带前后露台花园 享受悠闲的居家生活', '富力天朗明居S区  | 2室2厅 | 66.2平米 | 西 | 简装 | 有电梯', '低楼层(共18层)2001年建塔楼  -  棠下', '315万', '单价47584元/平米')
('https://image1.ljcdn.com/440100-inspection/87d87d54-e383-4b44-890a-1a5b7a0a8925.jpg.296x216.jpg', '东莞庄路 天一新村 电梯楼复式6房', '天一新村  | 6室2厅 | 214.42平米 | 南 | 其他 | 有电梯', '高楼层(共9层)2008年建塔楼  -  东莞庄', '999万', '单价46591元/平米')
('https://image1.ljcdn.com/440100-inspection/3d3b5714-5dcf-4afa-bafb-e7b7b52f098d.jpg.296x216.jpg', '利雅湾 高层东南向三房', '利雅湾  | 3室2厅 | 152平米 | 南 | 精装 | 有电梯', '中楼层(共31层)2004年建塔楼  -  珠江新城中', '1260万', '单价82895元/平米')
('https://image1.ljcdn.com/440100-inspection/7dcebfc7-e5ee-4ca1-9fae-02e797577016.jpg.296x216.jpg', '富力院士庭 精装四房 东南向', '富力院士庭  | 4室1厅 | 143平米 | 东南 | 其他 | 有电梯', '高楼层(共18层)2007年建塔楼  -  东莞庄', '1015.3万', '单价71000元/平米')
('https://image1.ljcdn.com/440100-inspection/9d715d15-c114-4a4a-a351-735b3276775c.jpg.296x216.jpg', '富力院士庭 精装四房 南向 望花园', '富力院士庭  | 4室2厅 | 155.86平米 | 北 | 其他 | 有电梯', '低楼层(共18层)2007年建塔楼  -  东莞庄', '960万', '单价61594元/平米')
('https://image1.ljcdn.com/440100-inspection/a29af6e0-a164-4e47-a64e-64e61180e959.jpg.296x216.jpg', '历德雅舍 南向复式四居室 视野好诚心出售', '历德雅舍  | 4室2厅 | 127平米 | 南 | 精装 | 有电梯', '高楼层(共16层)2005年建塔楼  -  华景新城', '1020万', '单价80315元/平米')
('https://image1.ljcdn.com/440100-inspection/c735ac8e-ffa4-4a40-927f-35800ed83dec.jpg.296x216.jpg', '东圃旭景家园熙苑 精致五房', '旭景家园熙苑  | 5室2厅 | 172.03平米 | 南 | 精装 | 有电梯', '高楼层(共18层)2002年建塔楼  -  东圃', '825万', '单价47957元/平米')
('https://image1.ljcdn.com/440100-inspection/d099c9d1-4d25-4816-b3b2-c1f1e81c1aa7.jpg.296x216.jpg', '天健上城 通风采光好 两套打通一起 出售', '天健上城  | 4室2厅 | 90.83平米 | 南 | 毛坯 | 有电梯', '高楼层(共14层)塔楼  -  车陂', '360万', '单价39635元/平米')
('https://image1.ljcdn.com/440100-inspection/d66981ef-b4b2-40c9-94ed-3c59dc700776.jpg.296x216.jpg', '百合苑 两房一厅 户型方正', '百合苑A区  | 2室1厅 | 41平米 | 北 | 简装 | 无电梯', '中楼层(共7层)1996年建塔楼  -  员村', '160万', '单价39025元/平米')
('https://image1.ljcdn.com/440100-inspection/868d63ce-ac1e-4f4c-817e-65d8691b1e81.jpg.296x216.jpg', '法院宿舍，南北向三房，管理好', '员村法院宿舍  | 4室2厅 | 141.86平米 | 南 北 | 精装', '高楼层(共12层)2000年建塔楼  -  员村', '740万', '单价52165元/平米')
('https://image1.ljcdn.com/440100-inspection/e5c544e9-a791-4153-8a10-f4edf12ccea0.jpg.296x216.jpg', '华景新城 邮通小区 电梯1房1厅 无遮挡', '邮通小区  | 1室1厅 | 51平米 | 北 | 简装 | 无电梯', '中楼层(共13层)1998年建塔楼  -  华景新城', '285万', '单价55883元/平米')
('https://image1.ljcdn.com/440100-inspection/434c770f-0b4d-4904-b687-1a8ec1bc2241.jpg.296x216.jpg', '金湖雅苑 方正一房一厅 南向', '金湖雅苑  | 1室1厅 | 40.78平米 | 东 南 | 其他 | 无电梯', '低楼层(共9层)1999年建塔楼  -  沙太北', '128万', '单价31388元/平米')
('https://image1.ljcdn.com/440100-inspection/975e4644-0d18-448e-9729-f006b5905d1c.jpg.296x216.jpg', '华景新城五期  安静实用三房 通风采光好', '华景新城福门阁  | 3室2厅 | 100平米 | 西北 | 精装 | 无电梯', '高楼层(共9层)1998年建塔楼  -  华景新城', '460万', '单价46000元/平米')
('https://image1.ljcdn.com/440100-inspection/1d290749-2308-4ab7-83a5-96a0f0105080.jpg.296x216.jpg', '华南理工大学 精装4房 学院环境安静优美', '华南理工大学宿舍  | 4室2厅 | 133.5平米 | 南 北 | 简装 | 无电梯', '低楼层(共9层)2003年建塔楼  -  五山', '1100万', '单价82398元/平米')
('https://image1.ljcdn.com/440100-inspection/0f0d94a9-30b3-4335-8231-e0e1b02dbd4f.jpg.296x216.jpg', '东方都会广场 复式一房 交通便利', '东方都会广场  | 1室1厅 | 39平米 | 北 | 精装 | 有电梯', '低楼层(共23层)2004年建塔楼  -  天河公园', '255万', '单价65385元/平米')
('https://image1.ljcdn.com/440100-inspection/77640fa3-1d4d-4301-b007-42cd72e05b33.jpg.296x216.jpg', '龙口花苑 精装自住三房 通风采光好', '龙口花苑龙盛街  | 3室2厅 | 126.08平米 | 东北 | 精装 | 无电梯', '高楼层(共9层)2002年建塔楼  -  龙口西', '728万', '单价57742元/平米')
('', '时代新世界 高层单位 方正三', '时代新世界  | 4室2厅 | 120平米 | 南 | 简装 | 有电梯', '高楼层(共31层)塔楼  -  粤垦', '420万', '单价35000元/平米')
('https://image1.ljcdn.com/440100-inspection/38753f19-7d7c-4bcf-a8c7-c9908102bba9.jpg.296x216.jpg', '中怡城市花园 1房1厅 330万元', '中怡城市花园  | 1室1厅 | 43平米 | 西 | 简装 | 有电梯', '中楼层(共30层)2002年建塔楼  -  天河北', '330万', '单价76745元/平米')
('https://image1.ljcdn.com/440100-inspection/22d7c57f-6204-4c7e-aba9-d7c893a07029.jpg.296x216.jpg', '勤天E品上馆住宅 复式四房 高层视野开阔', '勤天E品上馆  | 4室2厅 | 113.34平米 | 南 北 | 其他 | 有电梯', '高楼层(共19层)2007年建塔楼  -  天河公园', '485万', '单价42792元/平米')
('https://image1.ljcdn.com/440100-inspection/bf9a5263-f093-403a-988e-c73d7c3a5462.jpg.296x216.jpg', '嘉怡花苑 南北对流三房 安静花园小区', '嘉怡花苑  | 3室2厅 | 84.75平米 | 南 北 | 简装', '高楼层(共9层)1995年建塔楼  -  天润路', '472万', '单价55694元/平米')
('https://image1.ljcdn.com/440100-inspection/6ba2a82e-6a13-4b7a-b671-36cb566930c3.jpg.296x216.jpg', '华景里锦苑 南向三房 绿化小区', '华景新城信华花园  | 3室2厅 | 149.77平米 | 南 | 简装 | 有电梯', '低楼层(共30层)2015年建塔楼  -  华景新城', '1020万', '单价68105元/平米')
('https://image1.ljcdn.com/440100-inspection/73c6e701-a222-4510-8399-5862c0dd1484.jpg.296x216.jpg', '实用舒适单位 配套完善', '乐雅苑  | 2室1厅 | 50平米 | 南 | 精装 | 无电梯', '中楼层(共9层)2006年建塔楼  -  员村', '230万', '单价46000元/平米')
('https://image1.ljcdn.com/440100-inspection/1e9cf22d-53da-4916-ae64-59d97a76809f.jpg.296x216.jpg', '棠德花园 正规两房 低楼层', '棠德花园  | 2室1厅 | 63平米 | 东 | 简装 | 无电梯', '低楼层(共9层)1997年建塔楼  -  棠下', '210万', '单价33334元/平米')
('https://image1.ljcdn.com/440100-inspection/8b905498-87e6-4562-979a-b053b69db1bf.jpg.296x216.jpg', '天河北鸿翔大厦02年社区精装南向厅出阳台', '鸿翔大厦  | 1室2厅 | 56平米 | 南 | 简装 | 有电梯', '中楼层(共29层)2002年建塔楼  -  天润路', '380万', '单价67858元/平米')
('', '历德雅舍 南向复式四居室 视野好诚心出售', '历德雅舍  | 4室2厅 | 127.47平米 | 南 | 简装 | 有电梯', '中楼层(共16层)2005年建塔楼  -  华景新城', '890万', '单价69821元/平米')
('https://image1.ljcdn.com/440100-inspection/dda741f2-e195-4ade-a9bf-e308beebf7e8.jpg.296x216.jpg', '新世界东逸花园 电梯大两房 格局方正', '新世界东逸花园  | 2室2厅 | 80平米 | 北 | 其他 | 有电梯', '中楼层(共24层)2001年建塔楼  -  天河公园', '550万', '单价68750元/平米')
('https://image1.ljcdn.com/440100-inspection/e5262963-cc28-469c-b040-b25ce9a3b754.jpg.296x216.jpg', '华景新城怡华台 电梯东南三房 安静采光好', '华景新城怡华台  | 3室2厅 | 91平米 | 南 北 | 简装 | 有电梯', '低楼层(共17层)1999年建塔楼  -  华景新城', '492万', '单价54066元/平米')
('https://image1.ljcdn.com/440100-inspection/85c18ff6-6ee9-4e99-b00d-8d434849d497.jpg.296x216.jpg', '芳满庭园 南向三房 户型方正 安静', '华景新城芳满庭园  | 3室2厅 | 97平米 | 南 | 简装 | 有电梯', '中楼层(共36层)2005年建塔楼  -  华景新城', '580万', '单价59794元/平米')
('https://image1.ljcdn.com/440100-inspection/b69e3834-e087-4132-8273-d2e9bf97450e.jpg.296x216.jpg', '远洋明苑 实用两房2厅 装修保养好', '远洋明苑  | 2室2厅 | 81平米 | 西南 | 精装 | 有电梯', '低楼层(共18层)2004年建塔楼  -  东圃', '335万', '单价41359元/平米')
('https://image1.ljcdn.com/440100-inspection/f2de8659-95b2-45c3-9601-ab0ab535674f.jpg.296x216.jpg', '华景新城公安宿舍 电梯两房 南北通透', '华景公安宿舍  | 2室2厅 | 77.24平米 | 南 北 | 其他 | 有电梯', '中楼层(共9层)1998年建塔楼  -  华景新城', '380万', '单价49198元/平米')
('https://image1.ljcdn.com/440100-inspection/eaccd0a3-2974-431e-92d0-661d8143a827.jpg.296x216.jpg', '加拿大花园 精装三房 安静舒适', '加拿大花园  | 3室2厅 | 98.78平米 | 西北 | 简装 | 有电梯', '中楼层(共25层)1995年建塔楼  -  华景新城', '390万', '单价39482元/平米')
('https://image1.ljcdn.com/440100-inspection/5b366bff-15c6-4e7a-bfb4-f178bad60867.jpg.296x216.jpg', '东莞庄路天一新村 H区 精装3房', '天一新村  | 3室1厅 | 89.89平米 | 北 | 其他 | 无电梯', '中楼层(共6层)2008年建塔楼  -  东莞庄', '480万', '单价53399元/平米')
('https://image1.ljcdn.com/440100-inspection/41ead5b6-748c-43f1-8a5d-7a02cea22fa8.jpg.296x216.jpg', '棠德花园 温馨2房 厅出阳台', '棠德花园  | 2室1厅 | 60.34平米 | 东 | 简装 | 无电梯', '中楼层(共9层)2000年建塔楼  -  棠下', '208万', '单价34472元/平米')
('', '时代新世界 电梯三房', '时代新世界  | 6室2厅 | 120.29平米 | 北 | 其他 | 有电梯', '中楼层(共31层)塔楼  -  粤垦', '336.9万', '单价28000元/平米')
('https://image1.ljcdn.com/440100-inspection/df3cba49-4264-4e62-add4-75436f778bd4.jpg.296x216.jpg', '东逸花园 实用两房 户型方正', '新世界东逸花园  | 2室2厅 | 85.6平米 | 北 | 简装 | 有电梯', '低楼层(共24层)2001年建塔楼  -  天河公园', '550万', '单价64253元/平米')
('https://image1.ljcdn.com/440100-inspection/59ed286c-54fe-493d-a000-a25087a8c8e4.jpg.296x216.jpg', '东圃广场 实用三房 南向 户型方正', '东圃广场  | 3室1厅 | 76.5平米 | 南 | 其他 | 有电梯', '中楼层(共12层)1999年建塔楼  -  东圃', '298万', '单价38955元/平米')
('https://image1.ljcdn.com/440100-inspection/f26cec42-3c5c-401e-9d80-1ee2f47a5f42.jpg.296x216.jpg', '棠德花园 电梯两房 采光好', '棠德花园  | 2室1厅 | 71平米 | 北 | 其他 | 有电梯', '中楼层(共29层)1997年建塔楼  -  棠下', '238万', '单价33522元/平米')
('https://image1.ljcdn.com/440100-inspection/a5ff6d01-ce88-402d-bb95-1531a0ab4fc0.jpg.296x216.jpg', '东成花园 精装二房 采光好', '东成花园  | 2室2厅 | 64.51平米 | 南 北 | 简装 | 无电梯', '低楼层(共9层)1997年建塔楼  -  五山', '288万', '单价44645元/平米')
('https://image1.ljcdn.com/440100-inspection/828533ab-3d87-4cc0-89b4-a9925b77cf4a.jpg.296x216.jpg', '富力盈丰大厦 南向一房 采光好', '富力盈丰大厦  | 1室0厅 | 51.68平米 | 南 | 其他 | 有电梯', '低楼层(共29层)2005年建塔楼  -  珠江新城西', '191.3万', '单价37001元/平米')
('https://image1.ljcdn.com/440100-inspection/64dbca27-2d0b-4da1-a7b8-17af62b60afc.jpg.296x216.jpg', '华建大厦 精装三房 带私家大露台', '华建大厦  | 3室1厅 | 80.59平米 | 北 | 精装 | 有电梯', '低楼层(共18层)2004年建塔楼  -  天河公园', '550万', '单价68247元/平米')
('https://image1.ljcdn.com/440100-inspection/c40d9c5c-158a-484c-81fb-c933c5519f8a.jpg.296x216.jpg', '珠江俊园 安静温馨三房 视野开阔', '珠江俊园  | 3室2厅 | 119.64平米 | 东 | 精装 | 有电梯', '低楼层(共28层)2007年建塔楼  -  华景新城', '780万', '单价65196元/平米')
('https://image1.ljcdn.com/440100-inspection/16eef62a-261e-4620-a7d6-aa93efce16c1.jpg.296x216.jpg', '翠拥华庭锋尚 中间楼层 精装', '翠拥华庭锋尚  | 1室1厅 | 46.73平米 | 西 | 精装 | 有电梯', '高楼层(共27层)2008年建塔楼  -  车陂', '205.4万', '单价43955元/平米')
('https://image1.ljcdn.com/440100-inspection/13947fc0-4a4e-4054-b0c3-c8a1243015f2.jpg.296x216.jpg', '春江花园 实用三房 户型方正', '春江花园  | 3室1厅 | 83平米 | 北 | 简装 | 有电梯', '中楼层(共16层)2000年建塔楼  -  棠下', '315万', '单价37952元/平米')
('https://image1.ljcdn.com/440100-inspection/bb07e08c-ace0-43f3-bf6f-8c0bb0fbb18a.jpg.296x216.jpg', '华港花园 二期电梯两房 安静舒适', '华港花园  | 2室2厅 | 89.6平米 | 南 | 精装 | 无电梯', '中楼层(共10层)2004年建塔楼  -  天河公园', '520万', '单价58036元/平米')
('https://image1.ljcdn.com/440100-inspection/aafd9cd6-b871-4b72-8a75-f2423f3d947c.jpg.296x216.jpg', '帝景苑 精装修 明亮三房', '帝景苑  | 3室2厅 | 122平米 | 西北 | 精装 | 有电梯', '中楼层(共32层)2000年建塔楼  -  龙口西', '716万', '单价58689元/平米')
('https://image1.ljcdn.com/440100-inspection/5dea0f0e-5c77-46e0-b987-24d8f8ae6752.jpg.296x216.jpg', '中兴花园 精装两房 格局方正 采光好', '中兴花园  | 2室1厅 | 56.8平米 | 南 | 精装 | 有电梯', '高楼层(共12层)1999年建塔楼  -  东圃', '240万', '单价42254元/平米')
('https://image1.ljcdn.com/440100-inspection/f4a9abbf-dfa7-451b-97d3-550f7196dc1d.jpg.296x216.jpg', '东方新世界 舒适两房 通透明亮', '东方新世界  | 2室2厅 | 70平米 | 北 | 其他 | 有电梯', '高楼层(共22层)2009年建塔楼  -  天河公园', '530万', '单价75715元/平米')
('https://image1.ljcdn.com/440100-inspection/c37afd8a-a373-4601-a4a7-538d613dd347.jpg.296x216.jpg', '珠江太阳城 高层东南向', '珠江太阳城广场裕富  | 2室2厅 | 97平米 | 东南 | 其他 | 有电梯', '中楼层(共31层)2009年建塔楼  -  珠江新城东', '710万', '单价73196元/平米')
('https://image1.ljcdn.com/440100-inspection/a55e1110-4f2f-47b1-ae49-5015e3480bc7.jpg.296x216.jpg', '春江花园 大三房 安静望花园', '春江花园  | 3室2厅 | 100.87平米 | 北 | 精装 | 有电梯', '高楼层(共18层)2000年建塔楼  -  棠下', '399万', '单价39556元/平米')
('https://image1.ljcdn.com/440100-inspection/632fe862-6618-433d-a096-b26ff07c93e6.jpg.296x216.jpg', '陶然庭苑 精装两房 安静采光好', '华景新城陶然庭园  | 2室2厅 | 77.63平米 | 北 | 简装 | 有电梯', '低楼层(共35层)2007年建塔楼  -  华景新城', '420万', '单价54103元/平米')
('https://image1.ljcdn.com/440100-inspection/897b4687-96dc-43a3-88ef-ffd8b68bcc11.jpg.296x216.jpg', '领峰园 W酒店配套管理 新装修', '领峰园  | 1室0厅 | 45平米 | 北 | 其他 | 有电梯', '低楼层(共42层)2009年建塔楼  -  珠江新城中', '430万', '单价95556元/平米')
('https://image1.ljcdn.com/440100-inspection/aed703b8-f843-40a4-b464-c64bc3ff10ae.jpg.296x216.jpg', '金坤花园 中低楼层 大三房', '金坤花园  | 3室2厅 | 91平米 | 南 北 | 简装 | 无电梯', '低楼层(共9层)1998年建塔楼  -  东莞庄', '318万', '单价34946元/平米')
('https://image1.ljcdn.com/440100-inspection/72a74705-2ba7-4531-a837-c837b959e4cf.jpg.296x216.jpg', '加拿大花园 方正二居室 通风采光好', '加拿大花园  | 2室1厅 | 53平米 | 东 | 其他 | 有电梯', '中楼层(共25层)1995年建塔楼  -  华景新城', '250万', '单价47170元/平米')
('https://image1.ljcdn.com/440100-inspection/4e47186c-78be-4d08-a6e0-2a247760bd84.jpg.296x216.jpg', '天力居 温馨南向两房 格局方正', '天力居  | 3室2厅 | 82平米 | 南 | 精装 | 有电梯', '低楼层(共16层)1998年建塔楼  -  东圃', '320万', '单价39025元/平米')
('https://image1.ljcdn.com/440100-inspection/8eb6bb47-ef15-4124-a2bd-0eed76cbbad4.jpg.296x216.jpg', '穗乐花园 温馨两房 户型方正', '穗乐花园  | 2室1厅 | 72.31平米 | 北 | 其他 | 无电梯', '中楼层(共8层)1990年建塔楼  -  员村', '298万', '单价41212元/平米')
('https://image1.ljcdn.com/440100-inspection/97931493-6925-493a-84b3-1195bcee28ec.jpg.296x216.jpg', '粤和楼 有电梯 两房可三房对公园南北通透', '粤和楼  | 2室2厅 | 81.44平米 | 北 | 其他 | 有电梯', '中楼层(共18层)2000年建塔楼  -  天河公园', '440万', '单价54028元/平米')
('https://image1.ljcdn.com/440100-inspection/bff87818-1e45-4d90-927c-c3967280b2dc.jpg.296x216.jpg', '朱美拉公寓 新净一房 景观靓丽', '朱美拉公寓  | 1室1厅 | 64平米 | 东 | 精装 | 有电梯', '低楼层(共38层)2009年建塔楼  -  珠江新城中', '465万', '单价72657元/平米')
('https://image1.ljcdn.com/440100-inspection/191be1f7-b6e2-42bb-9755-793ff49b2378.jpg.296x216.jpg', '跑马地花园 高层三房 户型方正', '跑马地花园  | 3室2厅 | 104.5平米 | 东 | 精装 | 有电梯', '高楼层(共14层)1999年建塔楼  -  珠江新城东', '638万', '单价61053元/平米')
('https://image1.ljcdn.com/440100-inspection/7fe59fad-550c-4b52-b3e6-381f92d482f5.jpg.296x216.jpg', '华景新城 东向三房 温馨采光', '华景新城信华花园  | 3室2厅 | 117.03平米 | 东 | 精装 | 有电梯', '低楼层(共29层)2012年建塔楼  -  华景新城', '640万', '单价54687元/平米')
('https://image1.ljcdn.com/440100-inspection/1d5b8e9d-b50e-423f-ba60-b6137459def7.jpg.296x216.jpg', '东方新世界 高层二期两房两厅  自住保养', '东方新世界  | 2室2厅 | 89平米 | 西 | 精装 | 有电梯', '高楼层(共25层)2011年建塔楼  -  天河公园', '639万', '单价71798元/平米')
('https://image1.ljcdn.com/440100-inspection/dddba424-41e4-47dd-8e8f-298daed0fb6e.jpg.296x216.jpg', '帝景苑 实用四房 厅大房大', '帝景苑  | 4室2厅 | 138平米 | 东北 | 简装 | 有电梯', '高楼层(共32层)2000年建塔楼  -  龙口西', '799万', '单价57899元/平米')
('https://image1.ljcdn.com/440100-inspection/07fc89cd-2cf9-473a-b431-c4417aa4ae3f.jpg.296x216.jpg', '华景新城福门阁 精装修三房两厅 东南向', '华景新城福门阁  | 3室2厅 | 83.49平米 | 东南 | 简装 | 无电梯', '高楼层(共9层)1998年建塔楼  -  华景新城', '400万', '单价47910元/平米')
('https://image1.ljcdn.com/440100-inspection/d17c765c-2cfe-40cf-8ca0-28e25d61dc03.jpg.296x216.jpg', '华景新城 安静大四房 视野开阔', '华景新城信华花园  | 4室2厅 | 145.8平米 | 南 | 简装 | 有电梯', '中楼层(共31层)2012年建塔楼  -  华景新城', '900万', '单价61729元/平米')
('https://image1.ljcdn.com/440100-inspection/e07153e5-56f2-4cc6-9fd9-82bcbaa9dd5f.jpg.296x216.jpg', '铂林国际公寓 带精装 南向 电梯一房', '铂林国际公寓  | 1室1厅 | 38平米 | 南 | 简装 | 有电梯', '高楼层(共22层)2005年建塔楼  -  珠江新城西', '350万', '单价92106元/平米')
('https://image1.ljcdn.com/440100-inspection/009fb892-5458-445f-9be6-ff8dd4120612.jpg.296x216.jpg', '华翠苑 中低层单位 实用两房', '华翠苑  | 2室1厅 | 53.16平米 | 北 | 简装', '低楼层(共9层)塔楼  -  沙河', '212万', '单价39880元/平米')
('https://image1.ljcdn.com/440100-inspection/82016798-994a-4fa2-ab84-6efd7391eb9d.jpg.296x216.jpg', '视野空阔无遮挡 实用一房一厅', '嘉裕礼顿阳光  | 1室1厅 | 55平米 | 北 | 精装 | 有电梯', '中楼层(共30层)2005年建塔楼  -  珠江新城西', '430万', '单价78182元/平米')
('https://image1.ljcdn.com/440100-inspection/c7c4576e-28b0-494c-b706-7012159b5570.jpg.296x216.jpg', '东方都会广场 高层复式 温馨舒适', '东方都会广场  | 1室1厅 | 39平米 | 北 | 简装 | 有电梯', '高楼层(共22层)2004年建塔楼  -  天河公园', '290万', '单价74359元/平米')
('', '东圃广场 大五房 精装出售', '东圃广场  | 5室2厅 | 178.81平米 | 南 | 精装 | 有电梯', '高楼层(共12层)1999年建塔楼  -  东圃', '620万', '单价34674元/平米')
