('https://image1.ljcdn.com/440100-inspection/36abca9a-dbc8-4db3-8b5c-20f0a1dc5886.jpg.296x216.jpg', '嘉鸿花园金玫瑰园 2室1厅 288万', '嘉鸿花园金玫瑰园  | 2室1厅 | 69.35平米 | 东南 | 其他 | 有电梯', '中楼层(共19层)1999年建塔楼  -  金碧', '288万', '单价41529元/平米')
('https://image1.ljcdn.com/440100-inspection/52ca778e-68a3-4fff-9d5e-0160ebb303c9.jpg.296x216.jpg', '晓港湾 温馨两房 南向望花园', '晓港湾文华苑  | 2室1厅 | 71平米 | 南 | 精装 | 无电梯', '中楼层(共9层)1999年建塔楼  -  金碧', '230万', '单价32395元/平米')
('https://image1.ljcdn.com/440100-inspection/379a6b29-257f-481f-8aba-8410af6dc26e.jpg.296x216.jpg', '鸿运花园，精装两房。', '鸿运花园  | 2室2厅 | 71平米 | 北 | 精装 | 有电梯', '中楼层(共19层)1997年建塔楼  -  赤岗', '350万', '单价49296元/平米')
('https://image1.ljcdn.com/440100-inspection/f355f4f0-5710-46cc-9400-3a2d6c0f538a.jpg.296x216.jpg', '逸景翠园 东南向四房', '逸景翠园  | 4室1厅 | 130平米 | 南 | 精装 | 有电梯', '低楼层(共33层)2002年建塔楼  -  广州大道南', '610万', '单价46924元/平米')
('https://image1.ljcdn.com/440100-inspection/070e91eb-7c99-4422-920e-61c13863bbc4.jpg.296x216.jpg', '精巧一房 采光通风 保养新净', '南洲花苑A区  | 1室1厅 | 43.51平米 | 西 | 简装 | 无电梯', '中楼层(共9层)1993年建塔楼  -  金碧', '138万', '单价31717元/平米')
('https://image1.ljcdn.com/440100-inspection/31a51204-221b-4f36-81c2-88590adbd55e.jpg.296x216.jpg', '荟翠苑 低层两房 楼龄新 小区管理', '荟翠苑  | 2室2厅 | 77.6平米 | 西北 | 其他 | 无电梯', '低楼层(共9层)1998年建塔楼  -  新港西', '200万', '单价25774元/平米')
('https://image1.ljcdn.com/440100-inspection/1108f8f5-2802-4f3a-b763-9cfa99112a9a.jpg.296x216.jpg', '光大花园，两房一厅 格局方正', '光大花园水岸榕城  | 3室2厅 | 83平米 | 南 | 精装 | 有电梯', '中楼层(共17层)2006年建塔楼  -  工业大道北', '500万', '单价60241元/平米')
('https://image1.ljcdn.com/440100-inspection/d0a15a4d-42f8-41ae-b080-bc9503e5ce74.jpg.296x216.jpg', '万华花园 电梯三房 诚意出售', '万华花园  | 3室1厅 | 99平米 | 北 | 简装 | 有电梯', '低楼层(共18层)2005年建塔楼  -  金碧', '435万', '单价43940元/平米')
('https://image1.ljcdn.com/440100-inspection/86c09456-749b-45f4-9fb8-5eea97f9fb06.jpg.296x216.jpg', '罗马家园 方正四房 保养新净', '罗马家园  | 4室2厅 | 136.91平米 | 东 | 精装 | 有电梯', '中楼层(共28层)2007年建塔楼  -  南洲', '580万', '单价42364元/平米')
('https://image1.ljcdn.com/440100-inspection/7b3dbd50-51df-4ec5-9646-73a92f9f5ade.jpg.296x216.jpg', '合生帝景 实用电梯两房', '南方花园二期合生帝景国际  | 2室2厅 | 90.03平米 | 西北 | 其他 | 有电梯', '低楼层(共31层)1998年建塔楼  -  昌岗', '480万', '单价53316元/平米')
('https://image1.ljcdn.com/440100-inspection/6b0b8bec-ce25-4192-b0ea-fffa0596e1c7.jpg.296x216.jpg', '江南美景花园 地铁口 繁华地段配套成熟', '江南美景花园  | 3室1厅 | 105.93平米 | 东南 | 其他 | 有电梯', '高楼层(共19层)1999年建塔楼  -  新港西', '410万', '单价38705元/平米')
('https://image1.ljcdn.com/440100-inspection/328a3b81-6644-45bb-a99d-678d9c9bf123.jpg.296x216.jpg', '精致两房 婚房选择 距离地铁500米', '光大花园和榕风景  | 2室2厅 | 72.96平米 | 北 | 简装 | 有电梯', '高楼层(共16层)2006年建塔楼  -  工业大道北', '435万', '单价59622元/平米')
('https://image1.ljcdn.com/440100-inspection/77e88c51-65e8-47d2-984e-7757073dd207.jpg.296x216.jpg', '江丽苑  实用小两房  保养新净', '江丽苑  | 2室1厅 | 49.8平米 | 东 | 简装 | 无电梯', '低楼层(共9层)1996年建塔楼  -  滨江东', '230万', '单价46185元/平米')
('https://image1.ljcdn.com/440100-inspection/5f59c507-fc8b-4a78-8c97-8f71107ef54e.jpg.296x216.jpg', '晓港湾 精致两房 厅出阳台 望花园', '晓港湾明华苑  | 2室2厅 | 56.63平米 | 北 | 其他 | 无电梯', '低楼层(共9层)1999年建塔楼  -  金碧', '215万', '单价37966元/平米')
('https://image1.ljcdn.com/440100-inspection/368f1580-323d-4e1d-b720-55533a5939b9.jpg.296x216.jpg', '富泽园小区 实用四房 通风采光好', '富泽园  | 3室2厅 | 98.02平米 | 西 | 简装 | 无电梯', '高楼层(共9层)1998年建塔楼  -  工业大道北', '380万', '单价38768元/平米')
('https://image1.ljcdn.com/440100-inspection/e1c9693b-b16e-4df1-aa36-6531e578f009.JPG.296x216.jpg', '聚德花苑 南区低层2房 格局方正 保养新', '聚德花园  | 2室2厅 | 58.23平米 | 北 | 精装 | 无电梯', '低楼层(共9层)1997年建塔楼  -  赤岗', '215万', '单价36923元/平米')
('https://image1.ljcdn.com/440100-inspection/3eb654bf-fb8a-4cdd-b0b1-cd4b43a2ce13.jpg.296x216.jpg', '愉景雅苑 三房带主套 装修保养新 望花园', '愉景雅苑  | 3室2厅 | 107平米 | 南 | 精装 | 有电梯', '中楼层(共13层)2000年建塔楼  -  新港西', '650万', '单价60748元/平米')
('https://image1.ljcdn.com/440100-inspection/630524cf-fe52-43bf-8e49-f6a67bfa6cac.jpg.296x216.jpg', '侨诚花园 温馨两房  适合一家三口居住', '侨诚花园冬日苑  | 2室1厅 | 58.86平米 | 东南 | 精装 | 有电梯', '低楼层(共15层)2000年建塔楼  -  金碧', '220万', '单价37377元/平米')
('https://image1.ljcdn.com/440100-inspection/51086a15-6e80-4a12-a2bd-fa8a072e47c5.jpg.296x216.jpg', '金碧三期,南向安静大三房出售', '金碧花园第三金碧  | 3室2厅 | 121.52平米 | 南 | 精装 | 有电梯', '低楼层(共26层)2000年建塔楼  -  金碧', '530万', '单价43615元/平米')
('https://image1.ljcdn.com/440100-inspection/b2b9aca9-d5fe-45a4-a713-3fc27f9d8dfc.jpg.296x216.jpg', '芭堤水岸 温馨实用单位', '芭堤水岸  | 2室2厅 | 96平米 | 西北 | 简装 | 有电梯', '中楼层(共32层)2005年建塔楼  -  滨江东', '545万', '单价56771元/平米')
('https://image1.ljcdn.com/440100-inspection/c07c90cd-8b01-448a-b7c6-c0b1504f9fe1.jpg.296x216.jpg', '第二金碧花园 安静望花园 户型方正', '金碧花园第二金碧  | 1室1厅 | 46平米 | 南 | 简装 | 有电梯', '中楼层(共33层)2000年建塔楼  -  金碧', '230万', '单价50000元/平米')
('https://image1.ljcdn.com/440100-inspection/89f1ea6e-5ed7-4311-9028-ec3ec380c477.jpg.296x216.jpg', '金碧花园二期 南北对流 保养新净', '金碧花园第二金碧  | 2室2厅 | 67.78平米 | 南 北 | 简装 | 有电梯', '低楼层(共32层)2000年建塔楼  -  金碧', '273万', '单价40278元/平米')
('https://image1.ljcdn.com/440100-inspection/4724eb03-115b-4092-bc98-c34b58ace07e.jpg.296x216.jpg', '晓港湾 电梯两房 格局方正', '晓港湾惠侨苑  | 2室2厅 | 55.77平米 | 东 | 其他 | 有电梯', '中楼层(共23层)1999年建塔楼  -  金碧', '213万', '单价38193元/平米')
('https://image1.ljcdn.com/440100-inspection/a4636030-e6e8-4f61-9be7-40ad93adc4e1.jpg.296x216.jpg', '尚领时代 东南向两房 安静望花园 明厨明厕 通风采光好', '尚领时代  | 2室1厅 | 75.77平米 | 东南 | 精装 | 有电梯', '高楼层(共18层)2006年建塔楼  -  金碧', '325万', '单价42893元/平米')
('https://image1.ljcdn.com/440100-inspection/6c0bccdc-28db-4c1d-9edf-c77ff000dd8f.jpg.296x216.jpg', '柏蕙花园 温馨三房 户型实用', '柏蕙花园  | 3室1厅 | 102.18平米 | 北 | 简装 | 有电梯', '低楼层(共16层)2005年建塔楼  -  新港西', '535万', '单价52359元/平米')
('https://image1.ljcdn.com/440100-inspection/404f5f93-7a3f-48e9-b224-9e7eb6d2bd8d.jpg.296x216.jpg', '瑞宝花园 实用三房 南北对流 通风采光好', '瑞宝花园  | 3室2厅 | 76.05平米 | 南 北 | 其他 | 无电梯', '低楼层(共9层)1997年建塔楼  -  金碧', '280万', '单价36818元/平米')
('https://image1.ljcdn.com/440100-inspection/bc906d42-884d-48a4-87e6-9419bd810cd8.jpg.296x216.jpg', '嘉鸿花园  安静望花园 交通便利', '嘉鸿花园  | 2室2厅 | 85.47平米 | 东北 | 其他 | 有电梯', '中楼层(共12层)1999年建塔楼  -  金碧', '310万', '单价36271元/平米')
('https://image1.ljcdn.com/440100-inspection/1ce3a6dc-9b25-416f-b184-36115fed31cd.jpg.296x216.jpg', '元邦明月园 两房出售 看房方便', '元邦明月园  | 2室1厅 | 81平米 | 东 | 简装 | 有电梯', '低楼层(共24层)2002年建塔楼  -  赤岗', '430万', '单价53087元/平米')
('https://image1.ljcdn.com/440100-inspection/d571bb5b-2be5-447b-8a66-be7a05007afa.jpg.296x216.jpg', '尚领时代 东南向两房', '尚领时代  | 2室2厅 | 80.45平米 | 东南 | 精装 | 有电梯', '低楼层(共19层)2006年建塔楼  -  金碧', '340万', '单价42263元/平米')
('https://image1.ljcdn.com/440100-inspection/fe7aef43-9c95-4648-9fa6-b14d16fa2a0a.jpg.296x216.jpg', '侨雅苑 住家装修 东南靓两房 环境舒适', '侨雅苑  | 2室2厅 | 76.41平米 | 南 | 精装 | 无电梯', '高楼层(共9层)1998年建塔楼  -  新港西', '305万', '单价39917元/平米')
('https://image1.ljcdn.com/440100-inspection/cd6c2b0b-2c86-4f26-9f5c-9ac69beed23c.jpg.296x216.jpg', '和辉花园 电梯正规三房 双阳台', '和辉花园  | 3室2厅 | 94.76平米 | 西南 | 简装 | 有电梯', '中楼层(共13层)1999年建塔楼  -  金碧', '300万', '单价31659元/平米')
('https://image1.ljcdn.com/440100-inspection/c68aef3c-b944-46b9-a855-289b3337df82.jpg.296x216.jpg', '琶洲磨碟砂地铁 邦泰国际 70年产权', '邦泰国际公寓  | 1室0厅 | 45平米 | 南 | 简装 | 有电梯', '中楼层(共21层)2009年建塔楼  -  琶洲', '220万', '单价48889元/平米')
('https://image1.ljcdn.com/440100-inspection/b6ea4f94-f16f-4824-9259-666d8dd734ee.jpg.296x216.jpg', '江南雅居，两房单位，北向', '江南雅居  | 2室1厅 | 80平米 | 北 | 其他 | 有电梯', '高楼层(共27层)1995年建塔楼  -  昌岗', '370万', '单价46250元/平米')
('https://image1.ljcdn.com/440100-inspection/22f125af-344b-4671-beb3-ca2213fd325a.jpg.296x216.jpg', '南华花园 小区管理舒适两房', '南华花园兴南二街  | 2室1厅 | 79.17平米 | 南 北 | 简装 | 无电梯', '低楼层(共9层)1998年建塔楼  -  新港西', '225万', '单价28420元/平米')
('https://image1.ljcdn.com/440100-inspection/2dccfe0e-d4e3-413c-95ee-0024d1d12bd5.jpg.296x216.jpg', '海逸花园 电梯大两房 交通方便', '海逸花园  | 2室2厅 | 101平米 | 南 | 简装 | 有电梯', '高楼层(共16层)2002年建塔楼  -  江南大道', '475万', '单价47030元/平米')
('https://image1.ljcdn.com/440100-inspection/d9556ca2-e2b4-4816-9f6a-61aba9c56753.jpg.296x216.jpg', '两房单位 户型方正 采光好 环境好', '鸿运雅轩  | 2室2厅 | 73.15平米 | 南 | 精装', '高楼层(共8层)塔楼  -  昌岗', '238万', '单价32536元/平米')
('https://image1.ljcdn.com/440100-inspection/7e917ceb-7055-4d1f-b60f-12a7c051cf04.jpg.296x216.jpg', '江南西南丰阁电梯实用二房', '南丰阁  | 2室1厅 | 63.37平米 | 西北 | 其他 | 有电梯', '中楼层(共18层)1992年建塔楼  -  江南西', '300万', '单价47342元/平米')
('https://image1.ljcdn.com/440100-inspection/de631aeb-1a01-4573-aa30-647772881339.jpg.296x216.jpg', '仁厚直街 大院管理 低层三房', '宝岗路仁厚直街  | 3室1厅 | 84.35平米 | 南 | 简装 | 无电梯', '中楼层(共9层)塔楼  -  宝岗', '297.5万', '单价35270元/平米')
('https://image1.ljcdn.com/440100-inspection/7fa645a8-a456-48c0-b8be-9cc74b1f47d4.jpg.296x216.jpg', '细岗东一街 三房 格局方正', '细岗路细岗东一街  | 3室2厅 | 85平米 | 东北 | 简装 | 无电梯', '高楼层(共9层)塔楼  -  昌岗', '250万', '单价29412元/平米')
('https://image1.ljcdn.com/440100-inspection/83c6a1a1-2e64-4119-b539-0c877808b9fe.jpg.296x216.jpg', '第二金碧花园 精致装修 北向精装修三房', '金碧花园第二金碧  | 3室2厅 | 107.09平米 | 北 | 精装 | 有电梯', '低楼层(共32层)2000年建塔楼  -  金碧', '480万', '单价44823元/平米')
('https://image1.ljcdn.com/440100-inspection/53fd009c-128f-49fb-a403-9a684c9e5222.jpg.296x216.jpg', '英豪花园 温馨两房 简洁欧式装修', '英豪花园阳光320  | 2室1厅 | 72平米 | 北 | 其他 | 有电梯', '高楼层(共28层)2005年建塔楼  -  金碧', '330万', '单价45834元/平米')
('https://image1.ljcdn.com/440100-inspection/10bc1d50-a5cc-43d4-8679-bc4f18f53d9c.jpg.296x216.jpg', '愉景南苑 南向 小区地铁近 大三房带主套', '愉景南苑  | 3室2厅 | 117平米 | 南 | 精装 | 有电梯', '中楼层(共19层)2002年建塔楼  -  新港西', '620万', '单价52992元/平米')
('https://image1.ljcdn.com/440100-inspection/ac494461-cec1-41d9-96f2-0b8758e8b83b.jpg.296x216.jpg', '青竹大街，中层单位，装修好', '江南西路青竹大街  | 3室2厅 | 76平米 | 东北 | 其他 | 无电梯', '中楼层(共8层)塔楼  -  江南西', '276万', '单价36316元/平米')
('https://image1.ljcdn.com/440100-inspection/2412a1e2-f300-4433-9fc7-093697d9ef31.jpg.296x216.jpg', '业主诚意出', '海外花园  | 2室2厅 | 67.59平米 | 南 | 简装 | 无电梯', '中楼层(共9层)2001年建塔楼  -  昌岗', '269万', '单价39799元/平米')
('https://image1.ljcdn.com/440100-inspection/ccc58759-97b3-4b67-909c-5c864ca8433a.jpg.296x216.jpg', '富景花园 三房改两大房', '富景花园  | 2室2厅 | 98平米 | 南 | 精装 | 有电梯', '高楼层(共32层)2003年建塔楼  -  新港西', '465万', '单价47449元/平米')
('https://image1.ljcdn.com/440100-inspection/d877b726-a461-4fdf-a77c-db54a1184ff4.jpg.296x216.jpg', '德怡居 新净两房 格局方正 采光好', '德怡居  | 2室2厅 | 66.02平米 | 南 | 精装 | 无电梯', '低楼层(共9层)1999年建塔楼  -  昌岗', '240万', '单价36353元/平米')
('https://image1.ljcdn.com/440100-inspection/28137574-9379-4f4b-b443-4ad445ccbf5e.jpg.296x216.jpg', '愉景雅苑，电梯3房加杂物房，厅出阳台', '愉景雅苑  | 3室1厅 | 107平米 | 西北 | 简装 | 有电梯', '低楼层(共12层)2000年建塔楼  -  新港西', '520万', '单价48599元/平米')
('', '光大花园三房带主 精装修 东南向 双阳台', '光大花园榕岸  | 3室2厅 | 135.64平米 | 东南 | 精装 | 有电梯', '中楼层(共33层)2006年建塔楼  -  工业大道北', '850万', '单价62666元/平米')
('https://image1.ljcdn.com/440100-inspection/930c40ae-0028-4141-98f1-6d7d63128999.jpg.296x216.jpg', '昌岗东路 广医二院宿舍 南向单位', '广医二院宿舍  | 2室2厅 | 76平米 | 南 | 简装', '低楼层(共8层)塔楼  -  昌岗', '295万', '单价38816元/平米')
('', '海富花园 1室1厅 200万', '海富花园  | 1室1厅 | 37.56平米 | 西南 | 简装 | 有电梯', '高楼层(共18层)2008年建塔楼  -  江燕路', '200万', '单价53249元/平米')
('', '顺景雅苑 2室2厅 330万', '顺景雅苑  | 2室2厅 | 75平米 | 北 | 其他 | 有电梯', '高楼层(共13层)2000年建塔楼  -  新港西', '330万', '单价44000元/平米')
('', '嘉仕花园 南向厅和房出大阳台 高楼层视野好', '嘉仕花园东区  | 2室1厅 | 86.58平米 | 西南 | 简装 | 有电梯', '中楼层(共28层)2003年建塔楼  -  滨江东', '510万', '单价58906元/平米')
('', '晓港湾 实用四房 西南向望花园', '晓港湾惠侨苑  | 4室2厅 | 117.64平米 | 西南 | 简装 | 有电梯', '高楼层(共23层)1999年建塔楼  -  金碧', '425万', '单价36128元/平米')
('https://image1.ljcdn.com/440100-inspection/6d947f66-8cb1-4b9b-acbc-ddc381a0e470.jpg.296x216.jpg', '宏宇广场 电梯一房 南向采光 带省级', '宏宇广场  | 1室1厅 | 35.49平米 | 南 | 其他 | 有电梯', '中楼层(共33层)2000年建塔楼  -  宝岗', '155万', '单价43675元/平米')
('https://image1.ljcdn.com/440100-inspection/b0f58575-7c22-436e-b62b-1bfc6f9accf7.jpg.296x216.jpg', '金碧花园 温馨一房', '金碧花园第一金碧  | 1室0厅 | 26平米 | 东 | 简装 | 有电梯', '中楼层(共15层)2000年建塔楼  -  金碧', '125万', '单价48077元/平米')
('', '信步闲庭 精装两房 可改三房', '信步闲庭  | 2室2厅 | 99平米 | 南 | 精装 | 有电梯', '中楼层(共18层)2006年建塔楼  -  赤岗', '500万', '单价50506元/平米')
('https://image1.ljcdn.com/440100-inspection/37dd1274-6e0f-4e12-8318-52b4087b63f4.jpg.296x216.jpg', '万寿路 1房0厅 82.41万元', '万寿路  | 1室0厅 | 27.47平米 | 南 北 | 简装 | 无电梯', '中楼层(共9层)塔楼  -  前进路', '80万', '单价29123元/平米')
('https://image1.ljcdn.com/440100-inspection/4f79719e-889b-4973-bcdb-3886ada17816.jpg.296x216.jpg', '琴海居，精装两房 旺中带静', '琴海居  | 2室1厅 | 51.32平米 | 南 | 精装', '低楼层(共12层)2004年建塔楼  -  滨江东', '325万', '单价63329元/平米')
('https://image1.ljcdn.com/440100-inspection/8e632ec5-3dc2-4ef6-bfba-8dd79004171e.jpg.296x216.jpg', '泰安居 电梯两房 东南向', '东晓路凤岗脚  | 2室2厅 | 86平米 | 东 | 简装', '高楼层(共16层)塔楼  -  新港西', '300万', '单价34884元/平米')
('https://image1.ljcdn.com/440100-inspection/271cd966-4ff1-4a52-b789-b9f5a94caf0d.jpg.296x216.jpg', '富力银禧花园 2室1厅 610万', '富力银禧花园  | 2室1厅 | 90.91平米 | 东南 | 精装 | 有电梯', '高楼层(共20层)2005年建塔楼  -  滨江东', '610万', '单价67100元/平米')
('https://image1.ljcdn.com/440100-inspection/53d41515-1600-4c63-9faa-e40c8fc0aad2.jpg.296x216.jpg', '芳草轩 温馨大两房 南北通透 优质小区', '芳草轩  | 2室2厅 | 93.25平米 | 南 | 精装 | 有电梯', '低楼层(共17层)2007年建塔楼  -  金碧', '428万', '单价45899元/平米')
('https://image1.ljcdn.com/440100-inspection/7776479b-124b-453a-8bd6-8b1d7a451a41.jpg.296x216.jpg', '华乐苑 客村鹭江双地铁 格局方正  双阳台 配套全', '华乐苑  | 2室1厅 | 65.81平米 | 西北 | 简装 | 无电梯', '低楼层(共9层)1999年建塔楼  -  新港西', '270万', '单价41028元/平米')
('https://image1.ljcdn.com/440100-inspection/3f842b14-0d7f-48ef-8df9-417b7f001bc3.jpg.296x216.jpg', '绿茵翠庭 二期电梯房 小区管理好', '绿茵翠庭  | 2室1厅 | 72平米 | 西南 | 简装 | 有电梯', '高楼层(共11层)2002年建塔楼  -  赤岗', '300万', '单价41667元/平米')
('https://image1.ljcdn.com/440100-inspection/c855c581-6de4-4983-9fa4-5f65a431440d.jpg.296x216.jpg', '实用舒适单位 配套完善', '富力现代广场  | 3室1厅 | 93平米 | 南 | 简装 | 有电梯', '中楼层(共18层)2005年建塔楼  -  工业大道北', '550万', '单价59140元/平米')
('https://image1.ljcdn.com/440100-inspection/9ce97589-c171-445c-a55b-5d4ddf742ef7.jpg.296x216.jpg', '中海名都 两房 方正实用 通风采光好', '中海名都  | 2室1厅 | 80平米 | 南 | 简装 | 有电梯', '中楼层(共38层)2002年建塔楼  -  滨江中', '480万', '单价60000元/平米')
('https://image1.ljcdn.com/440100-inspection/1f0f733b-055d-422b-8b02-3c167bb0d6f0.jpg.296x216.jpg', '交通便利 配套完善 户型方正', '江南美景花园睿品  | 3室1厅 | 86.15平米 | 北 | 其他 | 有电梯', '低楼层(共19层)1999年建塔楼  -  新港西', '410万', '单价47592元/平米')
('https://image1.ljcdn.com/440100-inspection/8f7bcba0-cff2-4324-aa23-35916ab8abc5.jpg.296x216.jpg', '滨江西路 交通便利 配套成熟', '滨江西路  | 2室1厅 | 55平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)塔楼  -  滨江西', '190万', '单价34546元/平米')
('https://image1.ljcdn.com/440100-inspection/c7ab010f-6175-4b5b-9bfb-efb204766b3b.jpg.296x216.jpg', '实用舒适单位 配套完善', '海琴湾  | 3室1厅 | 99平米 | 西 | 精装 | 有电梯', '中楼层(共32层)2002年建塔楼  -  滨江东', '638万', '单价64445元/平米')
('https://image1.ljcdn.com/440100-inspection/830877f5-b9fa-4557-ac63-809275f25654.jpg.296x216.jpg', '雅致花园 精装两房 小区管理 通风采光好', '雅致花园  | 2室1厅 | 68.64平米 | 东 西 | 精装 | 无电梯', '高楼层(共9层)1998年建塔楼  -  江燕路', '235万', '单价34237元/平米')
('https://image1.ljcdn.com/440100-inspection/33b96608-78f4-4381-8815-a7eb0cc7ecd2.jpg.296x216.jpg', '富力现代 实用套房 安静望花园', '富力现代广场  | 5室2厅 | 165平米 | 东 | 简装 | 有电梯', '低楼层(共25层)2005年建塔楼  -  工业大道北', '700万', '单价42425元/平米')
('https://image1.ljcdn.com/440100-inspection/ccc050e7-bc7c-4100-9584-cd85df01f272.jpg.296x216.jpg', '瑞康大厦 一房一厅 格局方正采光好', '瑞康大厦  | 1室1厅 | 32平米 | 南 | 其他 | 无电梯', '高楼层(共9层)1997年建塔楼  -  新港西', '80万', '单价25000元/平米')
('https://image1.ljcdn.com/440100-inspection/d7f487ba-2190-4697-bbd4-fa466341b10d.jpg.296x216.jpg', '双子星城 时尚复式单位 居家办公均可', '双子星城  | 4室2厅 | 76.56平米 | 北 | 精装 | 有电梯', '低楼层(共18层)2005年建塔楼  -  新港西', '330万', '单价43104元/平米')
('https://image1.ljcdn.com/440100-inspection/535cd258-2360-47b9-b9a4-5a8ac5661c69.jpg.296x216.jpg', '珠江新岸 大单间 望广州塔', '珠江新岸公寓  | 1室0厅 | 48平米 | 东 | 精装 | 有电梯', '高楼层(共32层)2009年建塔楼  -  滨江东', '250万', '单价52084元/平米')
('https://image1.ljcdn.com/440100-inspection/876d7413-8f34-4ee4-bccd-08392a29a44c.jpg.296x216.jpg', '明珠东苑，三房中层单位', '明珠东苑  | 3室1厅 | 66平米 | 西南 | 精装', '中楼层(共9层)1998年建塔楼  -  东晓路', '280万', '单价42425元/平米')
('https://image1.ljcdn.com/440100-inspection/cf9e21b7-3ea9-446f-80da-0e3ce03a7237.jpg.296x216.jpg', '金碧花园一期 中高层两房 装修好南北对流', '金碧花园第一金碧  | 2室1厅 | 69.43平米 | 北 | 其他 | 有电梯', '高楼层(共22层)2000年建塔楼  -  金碧', '310万', '单价44650元/平米')
('', '第三金碧花园 安静望花园三房 采光通风好', '金碧花园第三金碧  | 3室2厅 | 110.63平米 | 北 | 精装 | 有电梯', '中楼层(共32层)2000年建塔楼  -  金碧', '500万', '单价45196元/平米')
('https://image1.ljcdn.com/440100-inspection/897c7556-6817-436d-a49a-a990c22338ae.jpg.296x216.jpg', '金碧一期 实用两房 安静舒适 干净明亮', '金碧花园第一金碧  | 2室2厅 | 75.31平米 | 北 | 简装 | 有电梯', '中楼层(共26层)2000年建塔楼  -  金碧', '315万', '单价41828元/平米')
('https://image1.ljcdn.com/440100-inspection/0756bf7f-e5cb-479f-b7e3-81e443eb3636.jpg.296x216.jpg', '金碧花园 电梯三房 装修保养好', '金碧花园第一金碧  | 3室2厅 | 96.4平米 | 北 | 简装 | 有电梯', '低楼层(共22层)2000年建塔楼  -  金碧', '390万', '单价40457元/平米')
('https://image1.ljcdn.com/440100-inspection/2238357b-e6ed-4ba4-b994-3ab37e3795c5.jpg.296x216.jpg', '光大花园 实用两房 温馨单位 通风采光', '光大花园  | 2室2厅 | 78.24平米 | 北 | 简装 | 有电梯', '低楼层(共33层)2003年建塔楼  -  工业大道北', '460万', '单价58794元/平米')
('https://image1.ljcdn.com/440100-inspection/39c348cb-b0fb-4718-8d64-d86dfa2876d6.jpg.296x216.jpg', '江南新苑 实用三房 南北对流 送同天台花', '江南新苑  | 3室1厅 | 94.4平米 | 北 | 简装 | 有电梯', '高楼层(共32层)2002年建塔楼  -  新港西', '515万', '单价54556元/平米')
('https://image1.ljcdn.com/440100-inspection/e1a36d03-f126-4d8b-922d-5fc58471547b.jpg.296x216.jpg', '晓港湾 电梯东南向三房 中高楼层 采光好', '晓港湾惠侨苑  | 3室2厅 | 81平米 | 东南 | 简装 | 无电梯', '中楼层(共9层)1999年建塔楼  -  金碧', '315万', '单价38889元/平米')
('https://image1.ljcdn.com/440100-inspection/cc143311-060d-4cd0-a9df-229d6280db3d.jpg.296x216.jpg', '漾日云天 电梯两房 新装修 保养好', '晓港湾漾日云天  | 2室1厅 | 67.75平米 | 北 | 精装 | 有电梯', '高楼层(共31层)2004年建塔楼  -  金碧', '280万', '单价41329元/平米')
('https://image1.ljcdn.com/440100-inspection/431a1a2f-05c3-49cb-bcef-1e5f83ad565a.jpg.296x216.jpg', '嘉鸿花园 电梯两房 户型方正', '嘉鸿花园金玫瑰园  | 2室2厅 | 63.14平米 | 南 北 | 精装 | 有电梯', '低楼层(共19层)1999年建塔楼  -  金碧', '280万', '单价44346元/平米')
('https://image1.ljcdn.com/440100-inspection/f6a59c8d-67ff-4c90-91dc-94514ab7c471.jpg.296x216.jpg', '英豪花园 电梯两房', '英豪花园阳光320  | 2室1厅 | 72.25平米 | 北 | 其他 | 有电梯', '高楼层(共28层)2005年建塔楼  -  金碧', '320万', '单价44291元/平米')
('https://image1.ljcdn.com/440100-inspection/956a4c0a-fbe5-4518-9dc4-36fbc1eb240d.jpg.296x216.jpg', '英豪花园 方正两房 采光好', '英豪花园阳光320  | 2室2厅 | 65平米 | 西南 | 精装 | 有电梯', '中楼层(共24层)2005年建塔楼  -  金碧', '305万', '单价46924元/平米')
('https://image1.ljcdn.com/440100-inspection/cbb8cd8d-6726-418e-81e0-d3c184dff36b.jpg.296x216.jpg', '赤岗地铁 佳信花园 电梯中层南向', '佳信花园  | 2室1厅 | 83平米 | 东北 | 简装 | 有电梯', '中楼层(共11层)2004年建塔楼  -  赤岗', '460万', '单价55422元/平米')
('https://image1.ljcdn.com/440100-inspection/61524b3d-4d34-498c-be57-a7342cd3bdd8.jpg.296x216.jpg', '实用舒适单位 配套完善', '祈乐苑  | 3室1厅 | 98平米 | 东 | 精装 | 有电梯', '低楼层(共12层)1999年建塔楼  -  新港西', '500万', '单价51021元/平米')
('https://image1.ljcdn.com/440100-inspection/0acefd87-7df0-425c-b994-44f780fd6b8c.jpg.296x216.jpg', '三房带主套 户型方正 南北对流 采光好', '雅郡花园熙源  | 3室2厅 | 130.57平米 | 北 | 简装 | 有电梯', '高楼层(共6层)2003年建塔楼  -  琶洲', '680万', '单价52080元/平米')
('https://image1.ljcdn.com/440100-inspection/656a67ce-562e-474e-99a7-4fd556cfa554.jpg.296x216.jpg', '工业大道中 东南向大两房 户型方正实用', '石岗路候皇庙街  | 2室2厅 | 76.93平米 | 东南 | 简装 | 无电梯', '中楼层(共9层)塔楼  -  工业大道南', '230万', '单价29898元/平米')
